GENE	CHR	START	END
ANGPTL7	chr1	11249412	11256038
UBIAD1	chr1	11333255	11356106
DISP3	chr1	11538962	11597640
FBXO2	chr1	11697075	11715842
FBXO44	chr1	11710675	11723384
MAD2L2	chr1	11717287	11752662
FBXO6	chr1	11724246	11734411
DRAXIN	chr1	11751015	11785914
AGTRAP	chr1	11796141	11814859
C1orf167	chr1	11821844	11849642
MTHFR	chr1	11845780	11866512
CLCN6	chr1	11866153	11908136
NPPA	chr1	11905766	11908402
NPPB	chr1	11917521	11919033
KIAA2013	chr1	11979648	11986485
PLOD1	chr1	11994262	12035599
MFN2	chr1	12040238	12075268
MIIP	chr1	12079523	12092103
TNFRSF8	chr1	12123360	12204264
TNFRSF1B	chr1	12227034	12269285
VPS13D	chr1	12290087	12572099
DHRS3	chr1	12627938	12680139
AADACL4	chr1	12704104	12727087
AADACL3	chr1	12776113	12788727
CFAP107	chr1	12806148	12823847
PRAMEF12	chr1	12833881	12838049
PRAMEF1	chr1	12851546	12856777
PRAMEF11	chr1	12884468	12891264
HNRNPCL1	chr1	12907230	12908573
PRAMEF2	chr1	12916941	12921764
PRAMEF4	chr1	12939033	12946025
PRAMEF10	chr1	12952081	12958101
PRAMEF7	chr1	12976430	12980571
PRAMEF6	chr1	12998302	13007406
PRAMEF22	chr1	13035543	13038381
WI2-3308P17.2	chr1	13052394	13052998
HNRNPCL2	chr1	13182960	13184326
PRAMEF26	chr1	13216356	13219581
PRAMEF3	chr1	13328196	13331692
PRAMEF5	chr1	13359819	13369057
PRAMEF8	chr1	13386646	13390765
PRAMEF9	chr1	13421176	13428191
PRAMEF13	chr1	13447429	13452656
PRAMEF18	chr1	13474689	13477522
PRAMEF16	chr1	13495254	13498260
PRAMEF21	chr1	13516066	13526943
PRAMEF15	chr1	13641973	13648988
PRAMEF14	chr1	13668269	13673511
PRAMEF19	chr1	13694889	13698405
PRAMEF17	chr1	13716092	13719089
PRAMEF20	chr1	13736907	13747803
LRRC38	chr1	13801441	13840498
PDPN	chr1	13909960	13944452
PRDM2	chr1	14026683	14151574
KAZN	chr1	14219287	15444539
TMEM51	chr1	15478994	15546980
FHAD1	chr1	15563017	15726779
EFHD2	chr1	15736345	15756835
CTRC	chr1	15764938	15775737
CELA2A	chr1	15783223	15798586
CELA2B	chr1	15792404	15817890
CASP9	chr1	15817327	15853029
DNAJC16	chr1	15853308	15918874
AGMAT	chr1	15898194	15911573
DDI2	chr1	15943953	15995539
RSC1A1	chr1	15986208	15988528
PLEKHM2	chr1	16007956	16061264
SLC25A34	chr1	16062671	16067887
TMEM82	chr1	16068994	16074477
FBLIM1	chr1	16083099	16113089
UQCRHL	chr1	16133664	16135843
SPEN	chr1	16162590	16266951
ZBTB17	chr1	16266898	16302627
SRARP	chr1	16330731	16335302
HSPB7	chr1	16340523	16347092
CLCNKA	chr1	16344641	16360604
CLCNKB	chr1	16366747	16383862
FAM131C	chr1	16384264	16400146
EPHA2	chr1	16450832	16482564
ARHGEF19	chr1	16524349	16539388
C1orf134	chr1	16555368	16556038
CPLANE2	chr1	16558187	16563678
FBXO42	chr1	16573335	16678982
SZRD1	chr1	16679070	16724642
SPATA21	chr1	16713612	16763919
NECAP2	chr1	16767202	16786576
AL355149.2	chr1	16865561	16866070
NBPF1	chr1	16888814	16940057
AL137798.1	chr1	16999498	17000007
AL021920.2	chr1	17060447	17060956
CROCC	chr1	17066768	17299459
MFAP2	chr1	17300993	17308111
ATP13A2	chr1	17312453	17338423
ENSG00000288636	chr1	17331563	17338252
SDHB	chr1	17345159	17380646
PADI2	chr1	17393256	17445954
PADI1	chr1	17531623	17572502
PADI3	chr1	17575593	17610728
PADI4	chr1	17634690	17690499
AC004824.2	chr1	17655507	17676070
PADI6	chr1	17698691	17728195
RCC2	chr1	17733251	17766268
ARHGEF10L	chr1	17865863	18024371
ACTL8	chr1	18081828	18153558
IGSF21	chr1	18434204	18704977
KLHDC7A	chr1	18807424	18812468
PAX7	chr1	18957340	19075370
TAS1R2	chr1	19166093	19186154
RP13-279N23.2	chr1	19175767	19247615
ALDH4A1	chr1	19197919	19229293
IFFO2	chr1	19230774	19283170
UBR4	chr1	19401004	19536760
EMC1	chr1	19542154	19578046
MRTO4	chr1	19578290	19586622
AKR7L	chr1	19592476	19600688
AKR7A3	chr1	19608990	19615317
AKR7A2	chr1	19628485	19638638
SLC66A1	chr1	19638778	19655794
CAPZB	chr1	19665269	19812094
MICOS10	chr1	19810897	19956315
NBL1	chr1	19923473	19984949
MICOS10-NBL1	chr1	19923561	19983420
HTR6	chr1	19991368	20007459
TMCO4	chr1	20008700	20126993
RNF186	chr1	20140522	20141776
OTUD3	chr1	20208888	20239438
PLA2G2E	chr1	20246502	20250110
PLA2G2A	chr1	20301924	20306955
PLA2G5	chr1	20354672	20418404
PLA2G2D	chr1	20438432	20446059
PLA2G2F	chr1	20465816	20476874
PLA2G2C	chr1	20487746	20513011
UBXN10	chr1	20509786	20522543
VWA5B1	chr1	20617368	20686027
CAMK2N1	chr1	20808884	20812703
MUL1	chr1	20825938	20834644
FAM43B	chr1	20879066	20881513
CDA	chr1	20915425	20945401
PINK1	chr1	20959951	20978004
DDOST	chr1	20978260	20988037
KIF17	chr1	20990504	21044510
SH2D5	chr1	21046217	21059330
HP1BP3	chr1	21065588	21113816
EIF4G3	chr1	21132785	21503778
ECE1	chr1	21543740	21672065
NBPF3	chr1	21766592	21811498
ALPL	chr1	21835890	21904903
ENSG00000289715	chr1	21873897	21880495
RAP1GAP	chr1	21922708	21996339
USP48	chr1	22004791	22110099
LDLRAD2	chr1	22138758	22151718
HSPG2	chr1	22148737	22263803
CELA3B	chr1	22303515	22325135
CELA3A	chr1	22328150	22339035
ENSG00000289694	chr1	22351635	22419436
CDC42	chr1	22379120	22427853
WNT4	chr1	22443806	22470462
ZBTB40	chr1	22755331	22857650
EPHA8	chr1	22889982	22930088
C1QA	chr1	22961550	22966174
ENSG00000289692	chr1	22962999	22970560
C1QC	chr1	22969051	22974603
C1QB	chr1	22979206	22988130
EPHB2	chr1	23037332	23247993
LACTBL1	chr1	23279536	23299359
TEX46	chr1	23337327	23345593
KDM1A	chr1	23345888	23410186
LUZP1	chr1	23410523	23504645
ENSG00000293565	chr1	23420819	23420869
HTR1D	chr1	23516671	23544040
HNRNPR	chr1	23630264	23670851
ZNF436	chr1	23685941	23696329
TCEA3	chr1	23697084	23751662
ASAP3	chr1	23755054	23811130
E2F2	chr1	23832930	23857725
ID3	chr1	23884408	23886374
RPL11	chr1	24018175	24023325
ELOA	chr1	24069938	24088549
PITHD1	chr1	24104883	24114722
LYPLA2	chr1	24117600	24122034
GALE	chr1	24122089	24127271
HMGCL	chr1	24128367	24165110
FUCA1	chr1	24171567	24194846
CNR2	chr1	24197005	24239852
PNRC2	chr1	24283329	24290266
SRSF10	chr1	24290837	24307417
MYOM3	chr1	24382525	24438680
IL22RA1	chr1	24446261	24469655
IFNLR1	chr1	24480658	24514449
GRHL3	chr1	24526048	24690972
STPG1	chr1	24682376	24743424
NIPAL3	chr1	24740017	24803225
RCAN3	chr1	24828830	24867530
NCMAP	chr1	24882567	24935819
SRRM1	chr1	24958207	24999772
CLIC4	chr1	25071833	25170812
RUNX3	chr1	25226002	25291612
SYF2	chr1	25548767	25558995
RSRP1	chr1	25568739	25664735
RHD	chr1	25598884	25656936
TMEM50A	chr1	25664786	25688853
RHCE	chr1	25688740	25756683
MACO1	chr1	25757344	25826700
LDLRAP1	chr1	25870064	25917691
MAN1C1	chr1	25943282	26112696
SELENON	chr1	26126684	26144712
ENSG00000255054	chr1	26137961	26150235
MTFR1L	chr1	26145131	26159438
AUNIP	chr1	26158404	26185949
PAQR7	chr1	26187975	26202365
STMN1	chr1	26210672	26233728
PAFAH2	chr1	26286258	26325697
EXTL1	chr1	26346375	26362955
SLC30A2	chr1	26363743	26372627
TRIM63	chr1	26377792	26394927
PDIK1L	chr1	26437648	26452046
FAM110D	chr1	26485538	26490453
C1orf232	chr1	26490592	26495454
ZNF593OS	chr1	26496007	26498323
ZNF593	chr1	26496399	26497364
CNKSR1	chr1	26503967	26516375
CATSPER4	chr1	26517052	26529459
CEP85	chr1	26560160	26605305
SH3BGRL3	chr1	26606548	26608013
UBXN11	chr1	26607819	26644854
CD52	chr1	26644449	26647014
CRYBG2	chr1	26648189	26686571
ZNF683	chr1	26688125	26701013
LIN28A	chr1	26737308	26756219
DHDDS	chr1	26758773	26797813
HMGN2	chr1	26798504	26804700
RPS6KA1	chr1	26856247	26901521
ARID1A	chr1	27019727	27108595
PIGV	chr1	27113545	27127150
ZDHHC18	chr1	27153179	27184095
SFN	chr1	27189640	27190947
GPN2	chr1	27202623	27216774
GPATCH3	chr1	27216979	27226958
NUDC	chr1	27226729	27273376
NR0B2	chr1	27237980	27240466
KDF1	chr1	27276047	27287279
TRNP1	chr1	27320183	27328403
TENT5B	chr1	27331511	27339341
SLC9A1	chr1	27425300	27493472
WDTC1	chr1	27560267	27635202
TMEM222	chr1	27648630	27662892
SYTL1	chr1	27668500	27680428
MAP3K6	chr1	27681671	27693463
FCN3	chr1	27695599	27701345
CD164L2	chr1	27705666	27709823
GPR3	chr1	27719126	27722318
WASF2	chr1	27730730	27816819
AHDC1	chr1	27860546	27930942
FGR	chr1	27938575	27962076
IFI6	chr1	27992575	27998723
FAM76A	chr1	28052472	28089627
STX12	chr1	28099706	28150954
PPP1R8	chr1	28157293	28178187
AL109927.1	chr1	28177085	28177255
THEMIS2	chr1	28199054	28213196
RPA2	chr1	28218035	28241257
SMPDL3B	chr1	28261511	28285668
XKR8	chr1	28286099	28294604
EYA3	chr1	28296855	28415242
PTAFR	chr1	28473677	28520594
DNAJC8	chr1	28525967	28559543
AL353354.1	chr1	28527013	28527152
AL353354.2	chr1	28527070	28527419
ATP5IF1	chr1	28562595	28573417
SESN2	chr1	28585984	28609002
MED18	chr1	28655513	28662476
PHACTR4	chr1	28696074	28826876
RCC1	chr1	28832455	28865812
TRNAU1AP	chr1	28879513	28905057
TAF12	chr1	28914341	28974876
RAB42	chr1	28918712	28921961
GMEB1	chr1	28994792	29045865
YTHDF2	chr1	29063133	29096296
OPRD1	chr1	29138682	29197779
EPB41	chr1	29213603	29446558
TMEM200B	chr1	29445941	29450430
SRSF4	chr1	29474255	29508434
MECR	chr1	29519169	29557457
PTPRU	chr1	29563017	29653325
ENSG00000289710	chr1	31049502	31049672
MATN1	chr1	31184124	31196432
LAPTM5	chr1	31205312	31230702
SDC3	chr1	31342313	31381657
PUM1	chr1	31404352	31538838
NKAIN1	chr1	31652191	31712813
SNRNP40	chr1	31732415	31769635
ZCCHC17	chr1	31769829	31838374
FABP3	chr1	31836857	31849697
SERINC2	chr1	31882412	31907527
AC114494.1	chr1	31902192	31902614
TINAGL1	chr1	32042086	32053290
HCRTR1	chr1	32083261	32098119
PEF1	chr1	32095467	32110497
COL16A1	chr1	32117861	32169920
ADGRB2	chr1	32192718	32230494
SPOCD1	chr1	32256023	32281623
PTP4A2	chr1	32372022	32410457
AL136115.1	chr1	32379174	32380745
ENSG00000288678	chr1	32385164	32403611
KHDRBS1	chr1	32479288	32526451
TMEM39B	chr1	32537632	32568467
KPNA6	chr1	32573657	32642164
TXLNA	chr1	32643698	32663900
CCDC28B	chr1	32665984	32671054
IQCC	chr1	32671249	32674289
DCDC2B	chr1	32674680	32681797
TMEM234	chr1	32680073	32687960
EIF3I	chr1	32686678	32710998
FAM167B	chr1	32712823	32714457
LCK	chr1	32716845	32751771
HDAC1	chr1	32757522	32799236
MARCKSL1	chr1	32799428	32801834
TSSK3	chr1	32817122	32829913
FAM229A	chr1	32826871	32829879
BSDC1	chr1	32830234	32860332
ZBTB8B	chr1	32930651	32962287
ENSG00000254553	chr1	32930658	33066393
ZBTB8A	chr1	33004743	33071542
ZBTB8OS	chr1	33065773	33116570
RBBP4	chr1	33116743	33151812
SYNC	chr1	33145507	33169197
NHSL3	chr1	33207297	33240571
YARS1	chr1	33240838	33283632
S100PBP	chr1	33282009	33324480
FNDC5	chr1	33327869	33338083
HPCA	chr1	33347099	33364042
TMEM54	chr1	33360194	33367041
RNF19B	chr1	33394637	33430516
FKSG48	chr1	33439268	33439642
AK2	chr1	33473587	33546597
AZIN2	chr1	33546705	33589093
TRIM62	chr1	33611000	33647660
ZNF362	chr1	33721960	33766320
A3GALT2	chr1	33772367	33786699
PHC2	chr1	33789224	33896696
ZSCAN20	chr1	33938198	33967243
CSMD2	chr1	33979598	34631443
HMGB4	chr1	34326076	34330392
C1orf94	chr1	34632484	34684732
SMIM12	chr1	35178338	35325406
GJB5	chr1	35220635	35224113
GJB4	chr1	35225341	35229325
GJB3	chr1	35246815	35251970
GJA4	chr1	35258598	35261357
DLGAP3	chr1	35331037	35395251
ENSG00000284773	chr1	35439957	35450914
TMEM35B	chr1	35446981	35450948
ENSG00000271741	chr1	35447134	35497342
ZMYM6	chr1	35451745	35497552
ZMYM1	chr1	35497773	35584419
SFPQ	chr1	35641979	35659047
ZMYM4	chr1	35734268	35887659
KIAA0319L	chr1	35859484	36023551
NCDN	chr1	36023057	36032875
TFAP2E	chr1	36038915	36060929
PSMB2	chr1	36065142	36107127
C1orf216	chr1	36179476	36184495
CLSPN	chr1	36185819	36235603
AGO4	chr1	36273617	36323491
AGO1	chr1	36335409	36396133
AGO3	chr1	36396297	36538101
TEKT2	chr1	36549695	36553879
ADPRS	chr1	36554479	36559533
COL8A2	chr1	36560840	36590823
TRAPPC3	chr1	36602171	36621654
MAP7D1	chr1	36621180	36646450
THRAP3	chr1	36689993	36770977
SH3D21	chr1	36771969	36794941
EVA1B	chr1	36787631	36789755
STK40	chr1	36805221	36851528
LSM10	chr1	36856839	36863546
OSCP1	chr1	36881428	36916052
MRPS15	chr1	36921319	36930019
CSF3R	chr1	36931270	36948923
GRIK3	chr1	37261128	37500116
ZC3H12A	chr1	37940097	37949980
MEAF6	chr1	37955594	37980407
SNIP1	chr1	38000050	38019894
DNALI1	chr1	38022520	38032458
GNL2	chr1	38032416	38061556
RSPO1	chr1	38076403	38101276
AIRIM	chr1	38147242	38157968
CDCA8	chr1	38158153	38175391
EPHA10	chr1	38179552	38230805
MANEAL	chr1	38259519	38270229
YRDC	chr1	38268617	38273880
C1orf122	chr1	38272651	38275126
MTF1	chr1	38275246	38325286
AL929472.1	chr1	38292232	38293886
INPP5B	chr1	38326368	38412749
SF3A3	chr1	38422647	38456189
FHL3	chr1	38460066	38472052
UTP11	chr1	38474783	38490492
POU3F1	chr1	38509501	38512465
RRAGC	chr1	39303870	39325444
MYCBP	chr1	39328165	39339050
ENSG00000274944	chr1	39330173	39347289
GJA9	chr1	39339741	39347259
RHBDL2	chr1	39351479	39407502
AKIRIN1	chr1	39456944	39471731
NDUFS5	chr1	39491990	39500308
MACF1	chr1	39546988	39952849
BMP8A	chr1	39956741	39995541
PABPC4	chr1	40026381	40042540
HEYL	chr1	40089107	40105315
NT5C1A	chr1	40116901	40139000
HPCAL4	chr1	40144320	40157157
PPIE	chr1	40157854	40229586
BMP8B	chr1	40222854	40254537
OXCT2	chr1	40235195	40237020
TRIT1	chr1	40303782	40349183
MYCL	chr1	40361100	40367928
MFSD2A	chr1	40420784	40435640
CAP1	chr1	40505407	40538439
PPT1	chr1	40538382	40562939
RLF	chr1	40627059	40706593
TMCO2	chr1	40711619	40717356
ZMPSTE24	chr1	40723713	40759852
COL9A2	chr1	40766159	40783485
SMAP2	chr1	40810522	40888998
ZFP69B	chr1	40915725	40929814
ZFP69	chr1	40942905	40962202
EXO5	chr1	40974113	40983396
ZNF684	chr1	40997245	41013840
RIMS3	chr1	41086351	41131362
NFYC	chr1	41157242	41237278
KCNQ4	chr1	41249347	41306124
CITED4	chr1	41326726	41328035
CTPS1	chr1	41444972	41478237
SLFNL1	chr1	41481261	41490223
SCMH1	chr1	41492874	41707978
FOXO6	chr1	41827594	41849262
EDN2	chr1	41944445	41950357
HIVEP3	chr1	41972036	42501596
ENSG00000284895	chr1	42050977	42094487
GUCA2B	chr1	42619081	42621491
GUCA2A	chr1	42628361	42630416
FOXJ3	chr1	42642206	42801584
RIMKLA	chr1	42846463	42889903
ZMYND12	chr1	42896000	42921924
PPCS	chr1	42921788	42939056
CCDC30	chr1	42928892	43122861
PPIH	chr1	43123856	43142429
YBX1	chr1	43148079	43169476
CLDN19	chr1	43198764	43205925
P3H1	chr1	43212006	43232755
C1orf50	chr1	43232916	43245162
ENSG00000283580	chr1	43232963	43260164
TMEM269	chr1	43250662	43282290
SVBP	chr1	43272711	43283068
ERMAP	chr1	43282749	43311578
ZNF691	chr1	43312244	43318148
SLC2A1	chr1	43391024	43424564
CFAP144	chr1	43610824	43622067
EBNA1BP2	chr1	43629846	43736607
CFAP57	chr1	43638001	43720029
TMEM125	chr1	43735650	43739678
C1orf210	chr1	43747537	43751579
TIE1	chr1	43766642	43788779
MPL	chr1	43803479	43820137
CDC20	chr1	43824599	43828878
ELOVL1	chr1	43829067	43833746
MED8	chr1	43849588	43855479
SZT2	chr1	43855553	43919918
HYI	chr1	43916278	43919670
PTPRF	chr1	43990757	44092250
KDM4A	chr1	44114927	44171189
ENSG00000284989	chr1	44115820	44396686
ST3GAL3	chr1	44171495	44396839
ARTN	chr1	44398992	44402916
IPO13	chr1	44412502	44433696
DPH2	chr1	44435650	44439045
ATP6V0B	chr1	44440159	44443967
B4GALT2	chr1	44444615	44456845
CCDC24	chr1	44457031	44462201
SLC6A9	chr1	44457172	44497139
KLF17	chr1	44584493	44600812
KLF18	chr1	44603493	44607303
DMAP1	chr1	44679099	44686353
ERI3	chr1	44686742	44820939
RNF220	chr1	44870857	45117396
TMEM53	chr1	45100910	45140153
ARMH1	chr1	45140364	45191263
KIF2C	chr1	45205489	45233439
RPS8	chr1	45240923	45244451
BEST4	chr1	45247508	45257222
PLK3	chr1	45266018	45271667
DYNLT4	chr1	45271560	45273089
BTBD19	chr1	45274195	45283053
PTCH2	chr1	45284826	45308925
EIF2B3	chr1	45316194	45452394
HECTD3	chr1	45468212	45477041
UROD	chr1	45476622	45481247
ZSWIM5	chr1	45482067	45771881
HPDL	chr1	45792567	45794382
MUTYH	chr1	45794835	45806565
ENSG00000288208	chr1	45794934	45956827
TOE1	chr1	45805684	45809648
TESK2	chr1	45809549	45956875
CCDC163	chr1	45959538	45965835
MMACHC	chr1	45965972	45979054
PRDX1	chr1	45976586	46008488
AKR1A1	chr1	46016147	46035723
NASP	chr1	46049253	46084577
CCDC17	chr1	46085716	46089730
GPBP1L1	chr1	46092956	46154080
TMEM69	chr1	46153821	46160115
IPP	chr1	46159996	46216325
MAST2	chr1	46252659	46501900
PIK3R3	chr1	46505812	46599010
P3R3URF-PIK3R3	chr1	46509333	46642160
TSPAN1	chr1	46639466	46651640
P3R3URF	chr1	46641158	46642160
POMGNT1	chr1	46654353	46685977
LURAP1	chr1	46669006	46686928
RAD54L	chr1	46712133	46744154
LRRC41	chr1	46726868	46769288
UQCRH	chr1	46766572	46782468
NSUN4	chr1	46806391	46834890
FAAH	chr1	46859937	46881426
DMBX1	chr1	46955494	46981890
TMEM275	chr1	46997838	47010238
KNCN	chr1	47011313	47017319
MKNK1	chr1	47023079	47082515
MOB3C	chr1	47073391	47082534
ATPAF1	chr1	47097743	47139539
TEX38	chr1	47134527	47139266
EFCAB14	chr1	47140331	47184818
CYP4B1	chr1	47223510	47285085
CYP4A11	chr1	47394534	47407266
CYP4X1	chr1	47489338	47516423
CYP4Z1	chr1	47532903	47583990
CYP4A22	chr1	47603091	47615414
PDZK1IP1	chr1	47649254	47657070
TAL1	chr1	47681962	47697897
STIL	chr1	47715811	47780564
CMPK1	chr1	47799462	47860538
FOXE3	chr1	47881957	47883724
FOXD2	chr1	47903716	47906363
TRABD2B	chr1	48226200	48463057
FLJ00388	chr1	48226979	48227290
AL109659.1	chr1	48569306	48569878
SLC5A9	chr1	48688357	48714316
SPATA6	chr1	48761045	48937951
AGBL4	chr1	48998526	50489626
BEND5	chr1	49193191	49242641
AL645730.2	chr1	50459990	50461874
ELAVL4	chr1	50489701	50669444
DMRTA2	chr1	50883222	50889140
FAF1	chr1	50902700	51425951
CDKN2C	chr1	51426417	51440306
C1orf185	chr1	51567893	51613758
RNF11	chr1	51701297	51739119
TTC39A	chr1	51752930	51810788
EPS15	chr1	51819935	51985059
OSBPL9	chr1	52042851	52264099
NRDC	chr1	52253189	52344477
RAB3B	chr1	52373628	52456372
TXNDC12	chr1	52485802	52521444
ENSG00000285839	chr1	52485825	52499022
KTI12	chr1	52497775	52499482
BTF3L4	chr1	52521871	52556388
ZFYVE9	chr1	52607560	52814343
CC2D1B	chr1	52811395	52831990
ORC1	chr1	52837682	52870143
PRPF38A	chr1	52869732	52886508
TUT4	chr1	52873954	53019159
GPX7	chr1	53068043	53074723
SHISAL2A	chr1	53098840	53135355
COA7	chr1	53150121	53164027
ZYG11B	chr1	53192119	53293008
ZYG11A	chr1	53308183	53360670
ECHDC2	chr1	53361582	53392884
SCP2	chr1	53392948	53517370
PODN	chr1	53526965	53559353
SLC1A7	chr1	53552851	53608310
CPT2	chr1	53662464	53679869
CZIB	chr1	53679771	53686324
MAGOH	chr1	53692562	53704293
LRP8	chr1	53708036	53794141
ENSG00000293253	chr1	53878821	53905691
DMRTB1	chr1	53925072	53933161
GLIS1	chr1	53971905	54204837
NDC1	chr1	54231133	54304233
YIPF1	chr1	54313204	54356356
DIO1	chr1	54356912	54376759
IFT25	chr1	54382247	54412261
LRRC42	chr1	54411718	54433841
LDLRAD1	chr1	54472971	54483867
TMEM59	chr1	54492354	54519177
TCEANC2	chr1	54518540	54578192
ENSG00000256407	chr1	54598359	54665746
CDCP2	chr1	54598360	54619443
CYB5RL	chr1	54635324	54665746
AL357673.1	chr1	54635333	54637997
MRPL37	chr1	54649714	54691137
SSBP3	chr1	54691105	54879152
ACOT11	chr1	55007930	55104865
FAM151A	chr1	55074851	55089229
MROH7	chr1	55107427	55175939
MROH7-TTC4	chr1	55107459	55207981
TTC4	chr1	55181508	55208330
PARS2	chr1	55222267	55230219
TTC22	chr1	55245385	55266996
CIMAP2	chr1	55271736	55307925
DHCR24	chr1	55315300	55352880
TMEM61	chr1	55352506	55457969
BSND	chr1	55464606	55482845
PCSK9	chr1	55505118	55530525
USP24	chr1	55532032	55681426
ENSG00000284686	chr1	56639105	56990167
PLPP3	chr1	56960433	57110974
PRKAA2	chr1	57110987	57181008
FYB2	chr1	57184462	57285369
C8A	chr1	57320441	57383896
C8B	chr1	57394772	57440056
DAB1	chr1	57460451	59012406
OMA1	chr1	58881056	59012510
TACSTD2	chr1	59041105	59042924
MYSM1	chr1	59109112	59165762
JUN	chr1	59242517	59249720
FGGY	chr1	59761582	60276319
HOOK1	chr1	60280458	60342041
CYP2J2	chr1	60358980	60392494
C1orf87	chr1	60452941	60539442
